Module Acronym,Module Code,Number of Assessments
SOF1,COM00015C,1
THE1,COM00013C,1
HCIN ,COM00018C,2
SOF2,COM00016C,2
SYS1,COM00011C,1
THE2,COM00014C,1
ENG1,COM00019I,2
SYS2,COM00029I,1
THE3,COM00027I,2
IMLO ,COM00026I,2
DATA ,COM00028I,1
SYS3,COM00018I,1
AURO,"COM00052H, COM00186M",1
CTAP,"COM00048H, COM00183M",1
DEEP,"COM00049H, COM00184M",1
EMBS,"COM00003H, COM00175M",1
GODS,"COM00063H, COM00200M",1
HINT,"COM00040H, COM00173M",1
NETS,"COM00056H, COM00188M",1
NLPG,"COM00069H, COM00214M",1
QUAL,"COM00058H, COM00181M",1
ROCS,"COM00066H, COM00180M",2
CBDA,"COM00068H, COM00207M",1
EHAC,"COM00064H, COM00182M",2
ELLA,"COM00071H, COM00216M",1
ENG2,"COM00055H, COM00187M",1
HIPC,"COM00036H, COM00174M",1
LLMA,"COM00070H, COM00215M",1
PLEI,"COM00065H, COM00190M",2
QUCO,"COM00042H, COM00168M",1
SAIL,"COM00050H, COM00191M",1
TECC,"COM00054H, COM00189M",1
IDEV,"COM00060H, COM00179M",2
PRAD,COM00195M,1
FOAM,COM00196M,1
PPCX,COM00213M,1
PRBX,COM00015H,1
PRIN,COM00079M,1
GPIG ,COM00138M,3
ARIA,"COM00072H, COM00217M",1
FSSE,"COM00006M, COM00212M",2
HRAS,COM00025M,2
RASS,COM00164M,1
SSAS,COM00052M,2
CASA,COM00017M,1
SESA,COM00202M,1
SCDR,COM00047M,1
REMS,COM00201M,2
HUFS,COM00208M,1
PMCE,COM00209M,1
PRCE,COM00205M,1
PRCM,COM00210M,1
PRCP,COM00033M,1