Module Acronym,Module Code,Number of Assessments,Number of Practicals,Total Duration,Number of Practical Groups,Notes on practicals
SOF1,COM00015C,1,1,2 hours,5,
THE1,COM00013C,1,1,1 hour,4,
HCIN ,COM00018C,2,1,2 hours,4,
SOF2,COM00016C,2,1,1 hour,5,
SYS1,COM00011C,1,2,4 hours,10,One of the practicals is optional (2 hours)
THE2,COM00014C,1,0,0 hours,0,
ENG1,COM00019I,2,1,2 hours,4,
SYS2,COM00029I,1,3,5 hours,15,One of the practicals is optional (1 hour)
THE3,COM00027I,2,1,1 hour,5,"Practicals only in weeks 7, 8, 9 and optional for week 11"
IMLO ,COM00026I,2,1,2 hours,4,
DATA ,COM00028I,1,1,2 hours,4,
SYS3,COM00018I,1,1,2 hours,6,
AURO,"COM00052H, COM00186M",1,1,2 hours,1,
CTAP,"COM00048H, COM00183M",1,1,3 hours,2,Practicals only in weeks 8 & 9
DEEP,"COM00049H, COM00184M",1,1,2 hours,3,
EMBS,"COM00003H, COM00175M",1,1,2 hours,2,
GODS,"COM00063H, COM00200M",1,1,2 hours,2,
HINT,"COM00040H, COM00173M",1,1,2 hours,1,"Practicals only in weeks 6, 7 & 8"
NETS,"COM00056H, COM00188M",1,1,2 hours,2,"Practicals only in weeks 2, 4, 5, 7, 9 & 11"
NLPG,"COM00069H, COM00214M",1,1,2 hours,2,
QUAL,"COM00058H, COM00181M",1,1,2 hours,1,
ROCS,"COM00066H, COM00180M",2,1,2 hours,2,
CBDA,"COM00068H, COM00207M",1,1,2 hours,3,
EHAC,"COM00064H, COM00182M",2,1,2 hours,2,
ELLA,"COM00071H, COM00216M",1,1,2 hours,2,
ENG2,"COM00055H, COM00187M",1,1,2 hours,1,
HIPC,"COM00036H, COM00174M",1,1,2 hours,3,
LLMA,"COM00070H, COM00215M",1,1,2 hours,1,
PLEI,"COM00065H, COM00190M",2,1,2 hours,1,
QUCO,"COM00042H, COM00168M",1,1,3 hours,1,
SAIL,"COM00050H, COM00191M",1,1,2 hours,1,
TECC,"COM00054H, COM00189M",1,1,2 hours,2,
IDEV,"COM00060H, COM00179M",2,1,2 hours,1,
PRAD,COM00195M,1,1,2 hours,2,
FOAM,COM00196M,1,1,2 hours,1,
ARIA,"COM00072H, COM00217M",1,1,2 hours,1,
GPIG ,COM00138M,3,1,2 hours,1,"Practicals: Sem 1 weeks 2, 4, 6, 8 & 10. Sem 2 weeks 3, 5, 7, 9 & 11."
PPCX,COM00213M,1,NA,NA,NA,
PRBX,COM00015H,1,NA,NA,NA,
PRIN,COM00079M,1,NA,NA,NA,
FSSE,"COM00006M, COM00212M",2,NA,NA,NA,
HRAS,COM00025M,2,NA,NA,NA,
RASS,COM00164M,1,NA,NA,NA,
SSAS,COM00052M,2,NA,NA,NA,
CASA,COM00017M,1,NA,NA,NA,
SESA,COM00202M,1,NA,NA,NA,
SCDR,COM00047M,1,NA,NA,NA,
REMS,COM00201M,2,NA,NA,NA,
HUFS,COM00208M,1,NA,NA,NA,
PMCE,COM00209M,1,NA,NA,NA,
PRCE,COM00205M,1,NA,NA,NA,
PRCM,COM00210M,1,NA,NA,NA,
PRCP,COM00033M,1,NA,NA,NA,